PT;AU;TI;DE;AB;TC;PY;PG
J;"Min, QF; Lu, YG; Liu, ZY; Su, C; Wang, B";Machine Learning based Digital Twin Framework for Production Optimization in Petrochemical Industry;"digital twin; machine learning; internet of things; petrochemical industry; production control optimization";"Digital twins, along with the internet of things (IoT), data mining, and machine learning technologies, offer great potential in the transformation of today's manufacturing paradigm toward intelligent manufacturing. Production control in petrochemical industry involves complex circumstances and a high demand for timeliness; therefore, agile and smart controls are important components of intelligent manufacturing in the petrochemical industry. This paper proposes a framework and approaches for constructing a digital twin based on the petrochemical industrial IoT, machine learning and a practice loop for information exchange between the physical factory and a virtual digital twin model to realize production control optimization. Unlike traditional production control approaches, this novel approach integrates machine learning and real-time industrial big data to train and optimize digital twin models. It can support petrochemical and other process manufacturing industries to dynamically adapt to the changing environment, respond in a timely manner to changes in the market due to production optimization, and improve economic benefits. Accounting for environmental characteristics, this paper provides concrete solutions for machine learning difficulties in the petrochemical industry, e.g., high data dimensions, time lags and alignment between time series data, and high demand for immediacy. The approaches were evaluated by applying them in the production unit of a petrochemical factory, and a model was trained via industrial IoT data and used to realize intelligent production control based on real-time data. A case study shows the effectiveness of this approach in the petrochemical industry.";1;2019;18
J;"Buisson, B; Lakehal, D";Towards an integrated machine-learning framework for model evaluation and uncertainty quantification;"Fluid flow simulation; Wall boiling; Data analytics; Digital Twin; Machine-learning; Data-driven models (DDM)";We introduce a new paradigm for treating and exploiting simulation data, serving in parallel as an alternative workflow for model evaluation and uncertainty quantification. Instead of reporting simulations of base-case and specific variations scenarios, databases covering a wide spectrum of operational conditions are built by means of machine-learning using sophisticated mathematical algorithms. While the approach works for all sorts of computer-aided engineering applications, the present contribution addresses the CFD/CMFD sub-branch, with application to a widely used benchmark of convective flow boiling. In addition to comparing simulation and experimental results on a case-by-case basis, machine-learning is used to create their respective (CFD and experiment) data-driven models (DDM), which will in a later stage serve for assessing the predictive performance of the CFD models over a wider range of experimental conditions, hence providing a high-level classification of their range of applicability.;0;2019;15
J;"Shivajee, V; Singh, RK; Rastogi, S";Manufacturing conversion cost reduction using quality control tools and digitization of real-time data;"Manufacturing conversion cost; DMAIC; Quality control (QC) tools; Digitization; Industry 4.0; Sustainable manufacturing";Two-wheeler automobile manufacturers in India are currently facing a big pressure to reduce the overall manufacturing cost in order to sustain the position in hypercompetitive domestic and global market. The manufacturing conversion cost is one part of the overall manufacturing cost. It consists of three major components i.e. product or parts scrap cost, consumables cost and tool cost. The scrap cost is the cost of defective products, which are not produced in accordance with standard and can't be sent to market. The consumables cost is the cost of other than basic raw material used in manufacturing i.e. filters, filler materials, fuel, gases, chemical, coolant and lubricants etc. This study has tried to emphasise role of conversion cost in making organisations cost competitive. Case study-based approach is used in this study. The case manufacturing system comprises three main processes: machine shop, frame plant (weld and paint shop) and assembly shop. In frame plant, paint shop and weld shop are the two main sub sections of this automobile manufacturing. More than 50% of overall manufacturing conversion cost is consumed in these two areas. This study attempts to illustrate the reduction of the manufacturing conversion cost by prioritizing and analysing the cost factors using DMAIC (define-measure-analyzeimprove-control) approach using quality control (QC) tools like Pareto chart, Cause & effect diagram and digitization of real time data. Authors have identified eighteen elements of conversion cost in this study. It has been observed from this study that even small saving in conversion cost per vehicle i.e. INR 24.18 (0.35 US$) per vehicle has resulted in annual saving of 2.2 millionUSD.Initiatives taken by this organisation for cost saving has also resulted in cleaner production and more sustainable manufacturing processes. Findings will be motivating to other manufacturers for reducing manufacturing cost using QC tools on smaller and insignificant activities. (C) 2019 Elsevier Ltd. All rights reserved.;0;2019;13
J;"Millwater, H; Ocampo, J; Crosby, N";Probabilistic methods for risk assessment of airframe digital twin structures;"Airframe digital twin; Probabilistic damage tolerance analysis; Risk assessment; Single flight probability-of-failure; Inspection and repair; Remaining useful life";Management of the airframe digital twin (DT) and its real equivalent for reliability, safety and economic considerations requires, as one component, a probabilistic treatment of the fracture critical components. The computation of the probability-of-failure, the remaining useful life, and the effects of inspections and repairs require accurate and efficient fracture mechanics lifing analyses, probabilistic descriptions of inputs, and probabilistic algorithms. The required computations, the current state-of-the-art in the risk assessment of DT modeling, and future challenges are described. Numerical examples are presented to demonstrate the computations.;0;2019;24
J;"Ding, K; Chan, FTS; Zhang, XD; Zhou, GH; Zhang, FQ";Defining a Digital Twin-based Cyber-Physical Production System for autonomous manufacturing in smart shop floors;"Smart manufacturing; Digital Twin; Cyber-Physical Production System (CPPS); autonomous manufacturing; operations control";Smart manufacturing is the core idea of the fourth industrial evolution. For a smart manufacturing shop floor, real-time monitoring, simulation and prediction of manufacturing operations are vital to improve the production efficiency and flexibility. In this paper, the Cyber-Physical System (CPS) and Digital Twin technologies are introduced to build the interconnection and interoperability of a physical shop floor and corresponding cybershop floor. A Digital Twin-based Cyber-Physical Production System (DT-CPPS) is further established, and the configuring mechanism, operating mechanism and real-time data-driven operations control of DT-CPPS are discussed in detail. It is expected that DT-CPPS will provide the basis for shop floors to march towards smart manufacturing.;4;2019;20
J;"Whelan, G; McDowell, DL";Uncertainty quantification in ICME workflows for fatigue critical computational modeling;"Uncertainty; Fatigue; ICME; Microstructure";Fatigue critical applications of digital twins require an emphasis on computing the driving forces to form and grow fatigue cracks in materials. The concept of a digital twin is extended to incorporate microstructure-sensitive fatigue in the context of ICME. Uncertainty is ubiquitous in ICME workflows, and robust uncertainty quantification strategies can facilitate reliable prognosis support. This work addresses epistemic uncertainty from model form and parameters for microstructure-sensitive simulation of fatigue. Model form uncertainty is studied through statistical volume element sampling strategies. A strategy to reduce this uncertainty is applied and a second study of model parameter uncertainty stemming from macroscopic calibration of a Ti-6Al-4V constitutive model is discussed.;0;2019;10
J;"Balocco, R; Cavallo, A; Ghezzi, A; Berbegal-Mirabent, J";Lean business models change process in digital entrepreneurship;"Lean manufacturing; Lean startup; Business model change; Business model experimenting; Business model validation; Digital entrepreneurship";"Purpose Business model change (BMC) is a process new ventures are frequently involved in, especially in dynamic environments like the digital industry: copying with it is a key issue for entrepreneurs attempting to shorten the transition between current and new business models (BMs) and avoid losses in terms of revenue, image and customer retention, while acquiring experience and validated learning in the process. The purpose of this paper is to propose a lean framework to support digital new ventures in the BMC process. Design/methodology/approach The study builds its contribution on two pillars: a review on BM and the lean thinking theories, and a multiple case study on three digital new ventures which underwent BMC. Findings The study shows how BMC in a digital context can beneficially follow lean principles, and how these principles can be integrated in an original lean framework to experiment on, validate and subsequently change a BM. Originality/value The authors provide the ""single minute exchange of die"" for BMC framework that extends and complements lean startup approaches to further relate lean thinking and BMC, thus operationalizing the process of BM experimenting and validation that enables change.";1;2019;23
J;"Leng, JW; Jiang, PY; Xu, KL; Liu, Q; Zhao, JL; Bian, YY; Shi, R";Makerchain: A blockchain with chemical signature for self-organizing process in social manufacturing;"Blockchain; Digital twin; Chemical signature; Social manufacturing; Smart contract";The growth of personalized demands requires socialized resources to timely self-organize themselves with crowd intelligence for co-creating open architecture products. This social manufacturing paradigm drives an increased demand for makers to track the authenticity and quality of products. A new decentralized blockchain-driven model, named Makerchain, is presented to handle the cyber-credit of social manufacturing among various makers. An anti-counterfeiting method composed of chemical signature is proposed to represent unique features of personalized products. Twinning unique signature data to blockchain and other functional databases is realized and anticipated to make manufacturing service transactions among makers more trustworthy. Based on an automated execution mechanism of smart contracts among makers, a decentralized manufacturing network can be enabled for automating transactions among makers, as well as third-party verification of product lifecycle through a trail of historic events. A Makerchain Decentralized Application (DApp) is presented to demonstrate the proposed approach through which clustered makers can self-organizing themselves around personalized demands. (C) 2019 Elsevier Ltd. All rights reserved.;1;2019;12
J;"Kipper, LM; Furstenau, LB; Hoppe, D; Frozza, R; Iepsen, S";Scopus scientific mapping production in industry 4.0 (2011?2018): a bibliometric analysis;"Industry 4; 0; smart manufacturing; bibliometrics; scientific mapping; the fourth industrial revolution";Research in industry 4.0 is growing, driven by the innovations in production systems on a continuous basis. In this study, we identified the evolution of themes inherent in the industry 4.0 using a bibliometric software, namely SciMAT (Science Mapping Analysis Software Tool). The analyses included 1882 documents, 4231 keywords, and the relevant information was extracted based on frequency of co-occurrence of keywords. The clusters were plotted in two-dimensional strategic diagrams and analysed using the bibliometric indicators such as the number of publications, number of associated documents, and h-index. The results revealed that 2017 had the largest number of publications. Expert authors in the field and the periodicals that published the most were identified. The science mapping presented 31 clusters in which the most representative motor themes were CPS (Cyber-Physical System), IoT (Internet of Things), and Big Data. In addition, it was possible to identify fields with high investment of efforts by the scientific community such as the union between lean production and industry 4.0, production-centered CPS (CPPS), IoT (Industrial Internet of Things - IIoT), among others. The overlapping map showed an increase in the number of keywords from 338 to 1231 over the period of data. The map of scientific developments supported by an exhaustive research, it was possible to show the state of the art, the main challenges and perspectives for future research in the field of industry 4.0 such as Technology, Collaboration/Integration, Management and Implementation.;0;;23
J;"Omer, M; Margetts, L; Mosleh, MH; Hewitt, S; Parwaiz, M";Use of gaming technology to bring bridge inspection to the office;"Bridge; inspection; virtual reality; LIDAR; digital twin; evaluation; maintenance; non-destructive methods";This paper proposes a novel method for bridge inspection that essentially digitises bridges using Light Detection and Ranging (LIDAR) so that they can be later inspected in a virtual reality (VR) environment. The work uses conventional terrestrial LIDAR together with affordable VR hardware and freely available software development kits originally intended for authoring computer games. The resulting VR app is evaluated for a case study involving a typical masonry bridge, comparing the proposed technique with traditional inspection methods. The new approach promises to be highly effective in terms of interpretation of results, accessibility to critical areas and safety of inspectors. The work represents an important step towards the creation of digital twins of important assets in the built environment. Recent bridge collapse incidents have affected local economies, traffic congestion, and in some extreme cases led to a loss of life. The work is timely as law making agencies are paying greater attention to structural rehabilitation. This paper will be of particular interest to bridge engineers, construction professionals and law makers and could lead to future revisions of bridge inspection processes and standards.;0;2019;16
